"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","10","3.421","60.0","30.0",".","",".",".","",".","10.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","17","3.750","70.6","11.8","17.6","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","19","3.669","52.6","15.8","21.1","",".",".","",".",".",".","",".",".","",".","",".","",".","10.5",".","."
"Undergraduates","","51","3.635","60.8","15.7","17.6","",".",".","",".","2.0",".","",".",".","",".","",".","",".","3.9",".","."
"Special","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","11","3.580","45.5","9.1","9.1","",".","9.1","",".",".","27.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
