"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","87","3.184","37.9","20.7","19.5","9.2","3.4","5.7","3.4",".",".",".",".",".",".",".",".","."
"Pathways in Pharmacy Practice","461","001","101","3.926","91.1","5.9","1.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","125","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490","010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525","033","124","3.944","90.3","8.9",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","95","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacokinetics","551","001","125","3.300","27.2","31.2","22.4","16.0","2.4",".","0.8",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","125","3.868","76.0","21.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","125","3.552","39.2","38.4","16.8","4.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewadship","560","001","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Health-System Pharm","610","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","49","3.939","87.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practice Innovation I","628","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","136","3.669","54.4","30.1","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","136","3.592","44.1","39.7","9.6","5.1","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","136","3.805","74.3","15.4","7.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","740","004","15","3.700","66.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","40","3.838","80.0","10.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","170","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","270","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","43","3.977","95.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742","004","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742","005","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","","Course Total","40","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743","005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
