"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","6","3.531","50.0","33.3",".","16.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","12","3.591","58.3","16.7","16.7","8.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","20","3.964","95.0","5.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","95","3.989","97.9","2.1",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","357","3.616","32.8","8.1","6.7","2.0","0.6","",".","",".","49.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","313","4.000","39.0",".",".",".",".","",".","",".","61.0","",".",".","",".","",".","",".",".",".","."
"Professionals","765","3.755","43.4","4.1","3.1","0.9","0.3","",".","",".","48.2","",".",".","",".","",".","",".",".",".","."
