"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","310
001","40","3.388","37.5","22.5","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","310
002","42","3.095","21.4","19.0","35.7","9.5","11.9","2.4",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","82","3.238","29.3","20.7","30.5","9.8","8.5","1.2",".",".",".",".",".",".",".",".",".","."
"","340
001","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","340
002","35","3.257","20.0","34.3","34.3",".","11.4",".",".",".",".",".",".",".",".",".",".","."
"","340
003","34","3.279","20.6","26.5","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","36","3.361","33.3","22.2","30.6","11.1","2.8",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","119","3.307","26.1","26.9","34.5","7.6","5.0",".",".",".",".",".",".",".",".",".",".","."
"","406
001","18","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","22","3.318","27.3","13.6","54.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","33","3.667","54.5","27.3","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","32","3.672","46.9","43.8","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","31","3.694","45.2","48.4","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","96","3.677","49.0","39.6","9.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","32","3.250","28.1","21.9","31.3","9.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"","620
002","18","3.361","27.8","22.2","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","50","3.290","28.0","22.0","36.0","8.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","621
001","22","3.182","27.3","18.2","31.8","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","621
002","22","3.455","40.9","18.2","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","44","3.318","34.1","18.2","31.8","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"","630
001","34","3.647","50.0","29.4","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","31","3.694","58.1","22.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","79","3.601","48.1","26.6","24.1",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","700
030","33","3.742","63.6","21.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","56","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","3","***","","","","","","","","","","","","","","","",""
"Financial Reporting II","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","23","3.674","56.5","21.7","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","25","3.500","44.0","12.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","48","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","30","3.467","36.7","20.0","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
020","44","3.500","25.0","63.6","2.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","765
021","35","3.571","25.7","62.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 52 of 450"
