"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","247","3.896","84.6","10.1","4.5",".","0.4",".",".","0.4",".",".",".",".",".",".",".","."
"","312
001","38","3.382","28.9","31.6","28.9","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","312
002","37","3.865","83.8","10.8","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","312
003","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","114","3.728","66.7","18.4","10.5","2.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
001","55","3.118","23.6","14.5","36.4","12.7","12.7",".",".",".",".",".",".",".",".",".",".","."
"","410
002","29","2.983","20.7","6.9","44.8","10.3","13.8","3.4",".",".",".",".",".",".",".",".",".","."
"","410
003","56","3.304","28.6","25.0","32.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","410
004","23","3.391","34.8","21.7","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","163","3.196","26.4","17.8","35.6","10.4","9.2","0.6",".",".",".",".",".",".",".",".",".","."
"","415
001","57","3.360","33.3","31.6","22.8","5.3","5.3",".","1.8",".",".",".",".",".",".",".",".","."
"","415
002","50","3.310","30.0","22.0","38.0","4.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"","415
003","42","3.310","31.0","21.4","35.7","7.1","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","149","3.329","31.5","25.5","31.5","5.4","4.0","1.3","0.7",".",".",".",".",".",".",".",".","."
"","420
001","48","3.302","27.1","35.4","18.8","12.5","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","420
002","22","3.205","18.2","22.7","40.9","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","47","3.628","44.7","36.2","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","117","3.415","32.5","33.3","23.1","8.5","1.7","0.9",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","19","3.579","47.4","26.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Excel Modeling","631
001","138","3.732","63.8","23.9","10.9","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","632
001","117","3.530","41.9","27.4","29.9",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","42","3.738","57.1","35.7","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","26","3.462","34.6","30.8","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Urban Economics","720
001","31","3.871","77.4","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
008","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","53","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readng&Rsch-Real Estate PhD","999
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
