"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Dancing Gender","Course Total","180","3.715","74.4","8.3","8.9","2.2","2.8","0.6","1.1","1.1",".",".",".",".","0.6",".",".","."
"Writing the Moving Body","200
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","211
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th III","Course Total","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.4"
"","225
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Ballet Technique II","Course Total","40","3.983","95.0","2.5",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Pilates Mat II","235
001","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Dance Production Laboratory","240
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255
001","19","3.889","89.5",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"Collaborative Arts Perform Lab","259
001","15","3.767","86.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Dance History I","265
001","22","3.900","86.4",".",".",".","4.5",".",".",".",".",".",".",".","4.5","4.5",".","."
"Pol&Cult Perspectives in Dance","268
001","91","3.692","70.3","16.5","6.6","3.3","1.1",".","2.2",".",".",".",".",".",".",".",".","."
"","311
001","22","3.816","86.4","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","311
002","18","3.667","66.7","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th V","Course Total","40","3.768","77.5","7.5","10.0",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Functional Anat Mvmt Practices","330
001","12","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Dance Therapy","331
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching I","376
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Independent Project","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
451","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","462
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","5","***","","","","","","","","","","","","","","","",""
