"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families","174","001","38","3.632","84.2","5.3",".",".",".","7.9","2.6",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253","001","129","3.449","53.5","20.9","10.1","4.7","5.4","2.3","2.3",".",".",".",".",".","0.8",".",".","."
"Development of Young Child","362","001","237","3.848","77.6","14.3","4.6","0.4","1.3",".",".","1.7",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","237","3.743","67.5","19.4","8.9","2.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","39","3.795","79.5","10.3","2.6","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","41","3.829","78.0","14.6","4.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474","001","37","3.905","86.5","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","38","3.763","65.8","26.3","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","501","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","50","3.820","74.0","20.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516","001","37","3.797","67.6","24.3","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","41","3.813","80.5","9.8","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","2.4","."
"Research Experience in HDFS","592","011","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","616","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","616","002","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","","Course Total","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","33","3.817","69.7","9.1","12.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Adv Study of Young Child","662","001","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","33","3.879","90.9","6.1",".",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","680","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","766","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","766","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in HDFS","","Course Total","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Bridging Gap: Rsch & Action","872","001","14","3.885","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Prevention Science","880","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
