"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"355","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","20","3.921","80.0","15.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"357","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"376
Japanese Conversation","001","","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"378
Chinese Conversation","001","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"405
Seventh Semester Korean","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","5","***","","","","","","","","","","","","","","","",""
"451
Advanced Readings Japanese","001","","20","3.825","80.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"475
Advanced Topics in Asian Trans","001","","14","3.750","85.7",".",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"560","002","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"560","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. Reading in Asian Language","Course Total","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
