"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","188","3.820","78.2","10.1","5.9","1.6","1.1","",".","0.5",".",".","",".",".","",".","",".",".","2.7","."
"Intro-Mus Cult of the World","103
001","86","3.907","94.2","2.3","1.2",".","1.2","",".","1.2",".",".","",".",".","",".","",".",".",".","."
"","210
001","7","3.929","85.7","14.3",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"","210
002","10","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"","003
210","14","3.500","64.3","14.3","14.3",".",".","",".","7.1",".",".","",".",".","",".","",".",".",".","."
"","210
004","13","3.731","69.2","15.4","7.7","7.7",".","",".",".",".",".","",".",".","",".","",".",".",".","."
"","210
005","17","3.500","82.4","5.9",".",".",".","",".","11.8",".",".","",".",".","",".","",".",".",".","."
"The African Storyteller","Course Total","61","3.680","78.7","9.8","4.9","1.6",".","",".","4.9",".","",".",".","",".","",".",".",".",".","."
"Nordic Mythology","342
001","46","3.433","26.1","50.0","15.2","4.3",".","",".","2.2","2.2",".","",".",".","",".","",".",".",".","."
"Sami Culture,Yesterday & Today","443
001","27","3.854","70.4","14.8",".","3.7",".","",".",".","7.4",".","",".",".","",".","","3.7",".",".","."
"Prosem-Ethnomusicology","515
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Folklore","530
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"FOLKLORE
380","Dept. Total","414","3.779","75.1","13.0","5.3","1.7","0.7","",".","1.4","1.0","",".",".","",".","",".","0.5",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","3.834","84.1","7.9","6.3",".",".","",".","1.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","138","3.831","82.6","10.1","2.9","2.2","1.4","",".","0.7",".","",".",".","",".","",".",".",".",".","."
"Junior","","127","3.764","73.2","17.3","4.7","1.6","0.8","",".","1.6",".","",".",".","",".","",".","0.8",".",".","."
"Senior","","72","3.656","63.9","18.1","9.7","2.8",".","",".","2.8","1.4","",".",".","",".","",".","1.4",".",".","."
"Undergraduates","","400","3.779","76.5","13.5","5.3","1.8","0.8","",".","1.5","0.3","",".",".","",".","",".","0.5",".",".","."
"Special","","10","3.667","20.0",".","10.0",".",".","",".",".","20.0","",".",".","",".","",".",".",".","50.0","."
"Graduate","","4","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","414","3.779","75.1","13.0","5.3","1.7","0.7","",".","1.4","1.0","",".",".","",".","",".","0.5",".","1.2","."
