"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","20","2.650","20.0","5.0","30.0","15.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","101
002","23","2.913","26.1","13.0","26.1","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","101
003","23","3.109","34.8","17.4","26.1","4.3","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","101
004","21","3.000","28.6","9.5","19.0","19.0","23.8",".",".",".",".",".",".",".",".",".",".","."
"","005
101","18","3.306","55.6",".","22.2","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","101
006","21","2.881","23.8","14.3","28.6","9.5","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","126","2.972","31.0","10.3","25.4","11.1","14.3","4.8","3.2",".",".",".",".",".",".",".",".","."
"","102
001","19","2.763","26.3","21.1","15.8","5.3","10.5","15.8","5.3",".",".",".",".",".",".",".",".","."
"","102
002","21","2.925",".","23.8","47.6","9.5","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"","102
003","20","2.950","5.0","15.0","60.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","2.958","37.5","8.3","25.0",".","16.7","8.3","4.2",".",".",".",".",".",".",".",".","."
"","102
005","22","2.955","18.2","18.2","31.8","18.2","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","102
006","24","2.771","8.3","8.3","50.0","12.5","16.7",".","4.2",".",".",".",".",".",".",".",".","."
"","007
102","18","3.167","16.7","27.8","38.9","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","14","2.893","28.6","7.1","21.4","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","162","2.919","17.3","16.0","37.0","8.6","13.6","4.9","1.9",".",".",".",".",".","0.6",".",".","."
"","001
203","24","3.500","54.2","8.3","29.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
203","24","3.717","66.7","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","203
003","23","3.174","43.5","21.7","17.4","4.3",".","4.3","8.7",".",".",".",".",".",".",".",".","."
"","203
004","20","3.300","30.0","35.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.262","33.3","19.0","28.6","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"","203
006","20","3.450","55.0","15.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.795","73.9","8.7","8.7","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","203
009","23","3.522","56.5","17.4","21.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","203
011","22","3.568","59.1","9.1","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
012","20","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","220","3.495","53.6","15.9","19.1","5.0","2.3","1.8","1.4",".",".",".",".",".","0.9",".",".","."
"","204
001","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","18","3.500","66.7",".","27.8",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","204
003","24","3.625","62.5","12.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
004","16","3.250","31.3","31.3","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","204
005","23","3.696","69.6","17.4","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","204
007","22","3.568","63.6","9.1","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","008
204","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
009","17","3.786","52.9","23.5","5.9",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"","204
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
204","19","3.526","47.4","21.1","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","204
012","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","213","3.676","65.7","14.6","12.7","1.4","3.3","0.5","0.5",".",".",".",".",".","1.4",".",".","."
"Intro to Hispanic Cultures","001
223","130","3.765","73.8","14.6","6.2","1.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","224
001","80","3.394","41.3","21.3","25.0","5.0","6.3",".","1.3",".",".",".",".",".",".",".",".","."
"","224
002","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
