"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"420
Phys/Chem Principles of Drugs","001","","139","3.108","16.5","23.0","35.3","15.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","138","3.830","81.9","8.7","5.1","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","116","3.422","41.4","20.7","25.0","6.0","5.2","0.9",".",".",".",".",".",".","0.9",".",".","."
"540
Drug Delivery Systems","001","","98","3.526","44.9","28.6","15.3","9.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"542
Parenteral Therapy & Nutrition","001","","98","3.862","82.7","7.1","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","24","3.854","87.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","139","3.572","43.9","30.2","20.9","4.3",".",".",".",".",".",".",".",".","0.7",".",".","."
"625
Toxicology I","001","","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750","001","","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"750","002","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Drug Development Process","Course Total","","27","3.712","55.6","25.9","14.8",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"751","001","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","002","","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","27","3.759","70.4","18.5","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"759
Trends in Drug Disc/Dev","001","","31","3.823","74.2","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"768","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"768","002","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"768","003","","14","3.692","42.9","42.9","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Pharmacokinetics","Course Total","","33","3.703","48.5","39.4","9.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 444 of 464",""
