"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"SE Student Teaching: PK - Gr 9","477
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Student Teaching: Gr. 4-12","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","001
500","","45","3.944","91.1","6.7","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","505
001","","36","3.757","61.1","25.0","11.1",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","505
002","","37","3.838","73.0","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","73","3.799","67.1","23.3","8.2",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Access to General Curriculum","515
001","","37","3.597","73.0","8.1","8.1",".","2.7",".","5.4",".",".",".",".",".","2.7",".",".","."
"","630
020","","21","3.977","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
021","","9","3.932","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","630
022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","35","3.970","91.4","5.7",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","660
069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","660
079","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
089","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.969","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Foundations","732
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal & Ethical Bases of Cnslg","735
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Cnslg Technique","810
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Cnslg Theory","820
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Diag & Treat","830
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Group Cnslg","840
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","860
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Spec Education","871
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract I","880
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract II","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
