"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102","001","62","3.895","79.0","21.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Contemp Afro-Am Soc","151","001","27","3.296","40.7","22.2","11.1","14.8","7.4","3.7",".",".","",".",".","",".","",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","183","3.890","90.7","3.3","1.6","1.1","1.1","0.5","0.5",".","",".",".","",".","",".","1.1",".",".","."
"Black Music&Am Cultrl Hist","156","001","266","3.929","89.5","6.8","1.1","0.4","0.4","0.4",".","1.1","",".",".","",".","",".","0.4",".",".","."
"Masterpieces of Afro Amer Lit","227","001","71","3.310","40.8","28.2","12.7","8.5","4.2","1.4","4.2",".","",".",".","",".","",".",".",".",".","."
"Intro to Afro-Am History","231","002","86","3.759","74.4","5.8","16.3",".","2.3",".",".",".","",".",".","",".","",".",".",".","1.2","."
"Intro to Afro-American Art","242","001","33","3.891","81.8","12.1",".","3.0",".",".",".",".","",".",".","",".","",".","3.0",".",".","."
"Latin America-Introduction","260","001","3","3.167",".","33.3","66.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Artistc/Cult Image-Bl Women","267","001","17","3.800","58.8","23.5","5.9",".",".",".",".",".","",".",".","",".","",".","11.8",".",".","."
"","271","001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","271","003","23","3.283","8.7","56.5","30.4",".",".","4.3",".",".","",".",".","",".","",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","29","3.431","27.6","44.8","24.1",".",".","3.4",".",".","",".",".","",".","",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","53","3.978","83.0","3.8",".",".",".",".",".","11.3","",".",".","",".","",".","1.9",".",".","."
"Africa: Introductory Survey","277","001","15","3.300","33.3","33.3","13.3","13.3",".","6.7",".",".","",".",".","",".","",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","21","2.950","4.8","38.1","33.3","9.5",".","4.8","4.8","4.8","",".",".","",".","",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","18","3.167","27.8","16.7","27.8","16.7","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"The Harlem Renaissance","337","001","25","3.560","60.0","24.0","4.0",".","8.0","4.0",".",".","",".",".","",".","",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","15","3.375","33.3","26.7","6.7","6.7",".","6.7",".",".","",".",".","",".","",".","13.3",".",".","6.7"
"History of African-Amer Educ","567","001","10","3.722","50.0","30.0","10.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","5","3.375","20.0","20.0","40.0",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"Selected Topics:Afro-Am Lit","672","001","11","3.000","45.5","18.2",".",".",".","27.3",".",".","",".",".","",".","",".","9.1",".",".","."
"Perspctv-Black Women Writng","677","001","13","2.846","46.2","15.4","7.7",".","7.7","7.7","15.4",".","",".",".","",".","",".",".",".",".","."
"Directed Study-Afro-Am Stdy","699","010","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","790","010","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","022","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","024","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","790","029","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","070","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","080","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","790","090","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","7","",".",".",".",".",".",".",".","85.7","",".",".","",".","14.3","",".",".",".","."
