"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","","BC","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110
001","","138","3.396","33.3","30.4","","24.6","2.2","","5.8","1.4","",".","","0.7","",".",".","",".","",".",".",".",".","1.4"
"Anatomy & Physiology of Speech","201
001","","51","3.120","23.5","29.4","","21.6","5.9","","11.8","5.9","",".","",".","",".",".","",".","",".","2.0",".",".","."
"Normal Aspects of Hearing","202
001","","88","3.131","22.7","30.7","","22.7","11.4","","8.0","2.3","","2.3","",".","",".",".","",".","",".",".",".",".","."
"Neural Base Comm","210
001","","196","3.403","34.7","33.7","","17.9","8.2","","4.6","0.5","","0.5","",".","",".",".","",".","",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318
001","","70","3.914","84.3","14.3","","1.4",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371
001","","88","3.966","96.6","1.1","","1.1","1.1","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Auditory Rehabilitation","425
001","","104","3.788","70.2","23.1","","5.8",".","",".",".","","1.0","",".","",".",".","",".","",".",".",".",".","."
"Child Language Disorders","440
001","","94","3.931","88.3","9.6","","2.1",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","681
005","","1","",".",".","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"","681
013","","1","",".",".","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"","681
017","","1","",".",".","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"Senior Honors Thesis","Course Total","","3","",".",".","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"","682
014","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
017","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
022","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
024","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
060","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
005","","6","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
006","","3","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
013","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
014","","4","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
017","","4","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
022","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
024","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
046","","9","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","43","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704
001","","36","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Motor Speech Disord/Communictn","705
001","","36","3.944","91.7","5.6","","2.8",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Swallowing Disorders","707
001","","37","3.945","97.3",".","",".",".","","2.7",".","",".","",".","",".",".","",".","",".",".",".",".","."
"School Methods in Lang Dis","709
001","","36","3.986","97.2","2.8","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Intro-Medical Speech Pathology","713
001","","36","3.917","97.2",".","",".",".","",".","2.8","",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone in Comm Sci & Dis","752
001","","31","3.935","96.8",".","",".",".","","3.2",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","790
001","","6","4.000","83.3",".","",".",".","",".",".","",".","",".","",".",".","",".","",".","16.7",".",".","."
"","790
002","","3","4.000","66.7",".","",".",".","",".",".","",".","",".","",".",".","",".","",".","33.3",".",".","."
"","790
003","","6","3.000","33.3",".","",".",".","",".","16.7","",".","",".","",".",".","",".","",".","50.0",".",".","."
"","790
004","","6","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","790
005","","6","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","790
006","","3","3.750","33.3","33.3","",".",".","",".",".","",".","",".","",".",".","",".","",".","33.3",".",".","."
"","790
007","","15","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","790
008","","6","4.000","50.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".","50.0",".",".","."
