"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","178","3.399","46.6","32.6","6.7","4.5","2.8","2.2","4.5",".",".",".","",".","",".",".",".",".","."
"Intro Earth System","120","001","77","3.120","24.7","20.8","22.1","13.0","16.9",".",".",".",".",".","",".","",".","1.3","1.3",".","."
"Global Environmental Issues","139","001","54","3.173","14.8","20.4","48.1","9.3","3.7",".",".","3.7",".",".","",".","",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","429","3.352","41.5","22.8","15.2","6.3","8.2","1.6","1.4","0.2",".",".","",".","",".",".",".","2.8","."
"Soil: Ecosystem & Resource","230","001","9","2.889","44.4",".","11.1","22.2","11.1",".","11.1",".",".",".","",".","",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Latin America-Introduction","260","001","3","2.500",".","33.3","33.3",".",".","33.3",".",".",".",".","",".","",".",".",".",".","."
"Africa: Introductory Survey","277","001","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".","",".","",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","25","3.771","64.0","24.0","4.0","4.0",".",".",".",".",".",".","",".","",".",".",".","4.0","."
"Introduction to the City","305","001","71","3.754","76.1","5.6","12.7","4.2","1.4",".",".",".",".",".","",".","",".",".",".",".","."
"Intl Migrat, Health & Rights","307","001","34","3.779","58.8","38.2","2.9",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"People, Land and Food","309","001","27","3.680","59.3","14.8","11.1","7.4",".",".",".",".",".",".","",".","",".","3.7","3.7",".","."
"Introduction to Geopolitics","318","001","29","3.739","62.1","13.8",".",".",".",".","3.4",".",".",".","",".","",".","20.7",".",".","."
"Geomorphology","320","001","6","2.667","16.7","16.7","33.3","16.7",".",".","16.7",".",".",".","",".","",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","5","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Environmental Conservation","339","001","49","3.000","22.4","32.7","18.4","4.1","10.2","10.2","2.0",".",".",".","",".","",".",".",".",".","."
"World Regions in Global Contxt","340","001","201","3.333","20.9","15.9","29.9","4.0","2.5",".",".",".",".",".","",".","",".","2.5","1.0","23.4","."
"Geography of Wisconsin","342","001","336","3.454","25.6","9.8","5.4","2.4","3.0","1.8","0.3","51.2","0.3",".","",".","",".",".",".","0.3","."
"Landscapes of American West","344","001","48","3.630","64.6","16.7","4.2","4.2","4.2",".","2.1","4.2",".",".","",".","",".",".",".",".","."
"Geog Traditions & Practices","365","001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","370","001","51","3.457","27.5","29.4","31.4","2.0",".",".",".","5.9",".",".","",".","",".","3.9",".",".","."
"","370","070","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".","",".","",".",".",".",".","."
"Introduction to Cartography","","Course Total","59","3.444","33.9","25.4","28.8","1.7",".",".","1.7","5.1",".",".","",".","",".","3.4",".",".","."
"","377","001","48","3.032","22.9","14.6","31.3","16.7","6.3","6.3",".",".",".",".","",".","",".",".",".","2.1","."
"","377","070","7","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","55","3.157","32.7","12.7","27.3","14.5","5.5","5.5",".",".",".",".","",".","",".",".",".","1.8","."
"Introduction to Geocomputing","378","070","28","3.778","64.3","21.4","10.7",".",".",".",".",".",".",".","",".","",".",".",".",".","3.6"
"IndigenousEcologicalKnowledges","410","001","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".","",".","",".",".",".",".","."
"","475","001","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","475","003","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","475","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","475","005","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Topics in Geography","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".","",".","",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Transforming Earth Systems","526","001","13","4.000","92.3",".",".",".",".",".",".",".",".",".","",".","",".","7.7",".",".","."
"Environmental Governance","534","001","7","4.000","85.7",".",".",".",".",".",".",".",".",".","",".","",".","14.3",".",".","."
"Humid Tropics","538","001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
