"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biol&Apprec-Companion Anmls","200
001","","132","2.962","31.8","14.4","15.9","9.8","18.9","","6.1","","2.3",".","",".",".","",".","",".","",".","0.8",".","."
"","299
016","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
022","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","299
025","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Comparative Animal Nutritn","311
001","","38","2.865","21.1","15.8","15.8","21.1","15.8","","7.9","",".",".","",".",".","",".","",".","","2.6",".",".","."
"Animal Health & Disease","320
001","","63","3.556","55.6","11.1","23.8","7.9","1.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Food Laws and Regulations","321
001","","10","3.900","90.0",".","10.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Animal & Vet Genetics","361
001","","33","2.621","18.2","9.1","24.2","6.1","33.3","","3.0","","6.1",".","",".",".","",".","",".","",".",".",".","."
"Veterinary Genetics","362
001","","23","2.761","8.7","39.1","13.0",".","26.1","","13.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Principles of Animal Breeding","363
001","","11","3.136","36.4","9.1","18.2","18.2","18.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Physiology","373
001","","41","2.659","26.8","9.8","24.4",".","14.6","","22.0","","2.4",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","375
005","","10","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
025","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
029","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Swine Production","432
001","","10","3.550","70.0","10.0",".",".","20.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Animal Ag & Sustainable Devel","472
001","","19","3.711","57.9","26.3","15.8",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Commercial Meat Processing","515
001","","7","3.500","57.1",".","28.6","14.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Ornithology","520
001","","7","3.571","57.1","28.6",".",".","14.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","521
001","","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","521
002","","4","3.667","50.0",".","25.0",".",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"","521
003","","4","3.125","25.0","25.0","25.0",".","25.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","10","3.389","40.0","10.0","30.0",".","10.0","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","682
015","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","682
035","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
013","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
015","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
016","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
029","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
035","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
047","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
006","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
009","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
015","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","875
003","","15","3.333","13.3","53.3","20.0","13.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","875
004","","22","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 31 of 454"
