"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","17","3.846","76.5","17.6","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","24","3.453","54.2","8.3","16.7","8.3","8.3",".",".",".","",".",".","",".","",".","4.2",".",".","."
"Senior","","44","3.658","72.7","15.9","4.5",".","2.3","2.3","2.3",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","89","3.646","67.4","15.7","7.9","2.2","3.4","1.1","1.1",".","",".",".","",".","",".","1.1",".",".","."
"Special","","6","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Graduate","","37","3.960","70.3","5.4",".",".",".",".",".","16.2","",".",".","",".","",".",".",".",".","8.1"
"","Dept. Total","132","3.723","67.4","12.1","5.3","1.5","2.3","0.8","0.8","6.8","",".",".","",".","",".","0.8",".",".","2.3"
