"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"","990
242","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
256","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
261","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
262","5","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
268","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
270","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
299","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".",".","94.8","",".",".","",".","5.2",".",".",".","."
"STAT
932","Dept. Total","3599","3.343","44.6","17.6","16.1","7.7","8.1","2.2","1.3","1.9","",".",".","",".","0.1","0.1","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","2.794","25.5","16.4","18.2","12.7","12.7","7.3","7.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","571","3.108","30.6","16.6","23.5","12.4","12.6","2.5","1.8",".","",".",".","",".",".",".",".",".","."
"Junior","","1154","3.246","38.5","19.1","18.0","9.2","10.0","3.7","1.0","0.1","",".",".","",".",".","0.3","0.1",".","0.1"
"Senior","","1165","3.369","48.2","17.5","14.8","7.6","8.1","1.6","1.7","0.1","",".",".","",".",".","0.2","0.1",".","0.1"
"Undergraduates","","2945","3.258","40.6","17.9","17.8","9.3","9.8","2.7","1.6","0.1","",".",".","",".",".","0.2","0.1",".","0.1"
"Special","","125","3.892","82.4","9.6","2.4","0.8","0.8",".",".","4.0","",".",".","",".",".",".",".",".","."
"Graduate","","526","3.732","58.6","17.9","9.7","0.8","0.2",".","0.4","12.0","",".",".","",".","0.6",".",".",".","."
"Prof Yr 1","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3599","3.343","44.6","17.6","16.1","7.7","8.1","2.2","1.3","1.9","",".",".","",".","0.1","0.1","0.1",".","0.1"
