"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","46","3.915","87.0","13.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","60","3.935","90.0","10.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","213","3.723","52.1","28.6","5.6","2.3","0.9","",".","",".","7.5","",".",".","",".","",".","0.5",".","2.3","."
"Prof Yr 1","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
