"MOLECULAR & ENVIRONMENTA Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"626
001
Toxicology II","","15","3.800","","66.7","","26.7","","6.7",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"699
001
Special Problems","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".",".","100.0","",".",".","."
"800
001
Seminar","","21","4.000","","100.0","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"801
001
Scientific Communication","","7","3.929","","85.7","","14.3","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"990
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
012","","2","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
013","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
036","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
040","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
041","","1","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
042","","2","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".","100.0","."
"990
045","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
047","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
057","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
063","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
070","","1","","",".","",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
083","","3","","",".","",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
085","","1","","",".","",".","",".",".","",".","",".","",".",".","100.0",".","",".",".","",".",".",".","."
"Course Total
Research","","18","","",".","",".","",".",".","",".","",".","",".","61.1","5.6",".","",".","22.2","",".",".","11.1","."
"M&ENVTOX
Dept. Total
362","","62","3.875","","59.7","","8.1","","1.6",".","",".","",".","",".","17.7","1.6",".","",".","6.5","","1.6",".","3.2","."
