"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","132","3.462","44.7","29.5","10.6","9.8","3.0","1.5","","0.8",".","",".",".",".","",".",".",".",".","."
"","299
022","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","299
067","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Independent Reading","Course Total","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","318
001","72","3.528","36.1","43.1","13.9","4.2","2.8",".","",".",".","",".",".",".","",".",".",".",".","."
"","318
002","72","3.664","44.4","43.1","6.9","2.8",".",".","",".","2.8","",".",".",".","",".",".",".",".","."
"Pathophys for Nrsg Practice","Course Total","144","3.595","40.3","43.1","10.4","3.5","1.4",".","",".","1.4","",".",".",".","",".",".",".",".","."
"","001
323","77","2.934","3.9","26.0","37.7","18.2","11.7","1.3","",".",".","",".",".",".","",".","1.3",".",".","."
"","323
002","77","3.084","6.5","32.5","37.7","18.2","5.2",".","",".",".","",".",".",".","",".",".",".",".","."
"Hlth & Ill Indiv Fam","Course Total","154","3.010","5.2","29.2","37.7","18.2","8.4","0.6","",".",".","",".",".",".","",".","0.6",".",".","."
"","324
001","79","3.639","44.3","40.5","13.9","1.3",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","324
002","78","3.724","52.6","42.3","3.8",".","1.3",".","",".",".","",".",".",".","",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","157","3.682","48.4","41.4","8.9","0.6","0.6",".","",".",".","",".",".",".","",".",".",".",".","."
"","325
001","79","3.918","83.5","16.5",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","325
002","77","3.961","92.2","7.8",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Profnlism in Hlth Care Stgs","Course Total","156","3.939","87.8","12.2",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
001","155","",".",".",".",".",".",".","",".",".","",".","98.1","0.6","",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
001","154","",".",".",".",".",".",".","",".",".","",".","98.7",".","",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","436
003","61","",".",".",".",".",".",".","",".",".","",".","100.0",".","",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","437
003","61","3.918","88.5","9.8",".",".","1.6",".","",".",".","",".",".",".","",".",".",".",".","."
"","442
001","13","3.885","76.9","23.1",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","442
002","6","3.750","66.7","16.7","16.7",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Hlth Syst, Polc, & Econ","Course Total","19","3.842","73.7","21.1","5.3",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","443
001","85","3.447","17.6","56.5","23.5","2.4",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","443
002","73","3.527","28.8","49.3","20.5","1.4",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","443
003","61","3.320","11.5","45.9","37.7","4.9",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","219","3.438","19.6","51.1","26.5","2.7",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","444
001","72","3.813","63.9","34.7","1.4",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","444
002","67","3.724","49.3","47.8","1.5","1.5",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Hlth Syst, Polc, Econ, & Rsrch","Course Total","139","3.770","56.8","41.0","1.4","0.7",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","445
001","87","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","445
002","71","3.972","95.8","2.8","1.4",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Transformative Nrsg Capstone","Course Total","158","3.987","98.1","1.3","0.6",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","446
001","84","",".",".",".",".",".",".","",".",".","",".","100.0",".","",".",".",".",".","."
"","446
002","73","",".",".",".",".",".",".","",".",".","",".","100.0",".","",".",".",".",".","."
"","446
003","61","",".",".",".",".",".",".","",".",".","",".","98.4","1.6","",".",".",".",".","."
"","446
004","1","",".",".",".",".",".",".","",".",".","",".","100.0",".","",".",".",".",".","."
"","446
005","2","",".",".",".",".",".",".","",".",".","",".","100.0",".","",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","221","",".",".",".",".",".",".","",".",".","",".","99.5","0.5","",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","447
003","61","3.910","82.0","18.0",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Leadership in Nursing","448
003","61","3.975","95.1","4.9",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"","470
001","2","3.300",".","50.0","50.0",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 429 of 454",""
