"NURSING","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","470
002","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","470
003","","2","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","5","3.500","20.0","60.0","20.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Cmnty Spts for Ppl w/ Dementia","511
001","","22","3.884","81.8","13.6","4.5",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Contemp Practices-Nursing","590
001","","27","3.926","92.6",".","7.4",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","601
010","","8","3.938","87.5","12.5",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","601
011","","7","3.929","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","601
040","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","601
060","","9","3.667","44.4","44.4","11.1",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Advanced Health Assessment","Course Total","","28","3.857","75.0","21.4","3.6",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","","28","3.929","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Nrsg Hnrs Rsrch Sem","679
001","","21","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
021","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
022","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
028","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
041","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
043","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
045","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
053","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
070","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
081","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
092","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","682
097","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","Course Total","","18","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study in Nursing","698
028","","1","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","699
011","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
021","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
054","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"","699
067","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study in Nursing","Course Total","","5","4.000","80.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","20.0",".",".","."
"","703
001","","29","3.983","96.6","3.4",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","703
004","","15","3.900","80.0","20.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Hlth Care & Public Policy","Course Total","","44","3.955","90.9","9.1",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Adv Health Sys Ldrshp & Innov","714
001","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","727
010","","10","3.800","60.0","40.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","727
020","","7","3.929","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","727
040","","4","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","727
060","","7","3.929","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","28","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","729
010","","5","3.800","80.0",".","20.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","729
011","","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","729
020","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","729
021","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 430 of 454",""
