"LIBRARY & INFORMATION STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","127","3.823","89.0","3.9","1.6","3.1",".",".","2.4",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","377","3.605","70.8","10.6","8.0","1.3","2.9","3.2","2.1",".",".",".",".",".","1.1",".",".","."
"Information Literacies Online","301
001","18","3.853","77.8","11.1",".","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"History and Future of Books","350
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","139","3.845","83.5","9.4","5.8",".",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Concepts of Data & Info Scienc","440
098","6","3.250","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","461
001","85","3.824","85.9","7.1","2.4",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","461
002","200","3.760","78.0","11.0","5.0","3.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","285","3.783","80.4","9.8","4.2","2.1","1.4","1.4","0.7",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interaction Design Studio","470
001","19","3.474","63.2","15.8",".","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","500
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","29","3.897","86.2","10.3",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","500
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Code and Power","Course Total","37","3.919","89.2","8.1",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","510
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","88","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","34","3.955","88.2","8.8",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","602
003","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info: Org and Search","Course Total","105","3.976","95.2","2.9","1.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Research and Assessment","603
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","611
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"User Experience Design 1","Course Total","27","3.962","88.9","7.4",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"User Experience Design 3","613
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
001","33","3.828","66.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"","615
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems Analysis & Proj Mgmt","Course Total","35","3.838","68.6","25.7","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".","."
