"ALS","","","","","","","","","","","","","","","","","","","","",""
"COMMUNITY & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"C&E SOC
Dept. Total
864","222","3.622","59.5","18.0","10.8","4.5","0.9","0.5","1.4","1.4","",".",".","",".","",".","1.8","1.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","24","3.632","45.8","33.3","16.7","4.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","46","3.708","65.2","19.6","8.7","6.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","61","3.495","52.5","18.0","16.4","6.6","1.6","1.6","1.6",".","",".",".","",".","",".","1.6",".",".","."
"Senior","67","3.619","61.2","16.4","7.5","3.0","1.5",".","3.0",".","",".",".","",".","",".","4.5","3.0",".","."
"Undergraduates","198","3.604","57.6","19.7","11.6","5.1","1.0","0.5","1.5",".","",".",".","",".","",".","2.0","1.0",".","."
"Special","4","***","","","","","","","","","","",".","",".","",".",".","25.0",".","."
"Graduate","20","3.895","85.0",".","5.0",".",".",".",".","10.0","",".",".","",".","",".",".",".",".","."
"Dept. Total","222","3.622","59.5","18.0","10.8","4.5","0.9","0.5","1.4","1.4","",".",".","",".","",".","1.8","1.4",".","."
