"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","4.000","71.4",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","28.6","."
"Junior","","13","4.000","76.9",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","23.1","."
"Senior","","17","3.974","88.2","5.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","5.9","."
"Undergraduates","","37","3.987","81.1","2.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","16.2","."
"Graduate","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","6","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
