"Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"775
001","","56","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".","7.1","."
"775
002","","31","",".",".",".",".",".",".",".","96.8",".",".",".",".",".",".","3.2","."
"775
003","","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".","5.9","."
"775
004","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
005","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total","","131","",".",".",".",".",".",".",".","95.4",".",".",".",".",".",".","4.6","."
