"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Intro to Digital Communication","200","001","118","3.720","75.4","12.7","5.1","2.5","0.8","2.5","0.8",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250","001","213","3.230","21.1","42.3","18.3","7.5","7.5","1.9","1.4",".",".",".",".",".",".",".",".","."
"","260","001","218","3.602","65.6","13.8","8.3","4.6","4.1","1.8","0.9",".",".",".",".",".",".","0.5","0.5","."
"","260","101","9","3.333","55.6","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Communication & Human Behav","","Course Total","227","3.591","65.2","14.1","8.4","4.4","4.0","1.8","1.3",".",".",".",".",".",".","0.4","0.4","."
"Thry&Pract-Argument&Debate","262","001","99","3.418","33.3","39.4","17.2","5.1","1.0","1.0","2.0",".",".",".",".",".",".","1.0",".","."
"Intro-Interpersonal Com","272","001","120","3.583","57.5","24.2","8.3","5.8","1.7","0.8","1.7",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310","001","9","3.278","44.4","33.3",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","313","001","37","3.419","59.5","13.5","8.1","5.4","5.4","8.1",".",".",".",".",".",".",".",".",".","."
"","313","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Film and Media Studies","","Course Total","38","3.434","60.5","13.2","7.9","5.3","5.3","7.9",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Health","317","001","78","3.851","76.9","16.7","2.6","2.6",".",".",".",".",".",".",".",".","1.3",".",".","."
"Media & Human Behavior","325","001","79","2.967","12.7","29.1","27.8","10.1","11.4","1.3","3.8","3.8",".",".",".",".",".",".",".","."
"Online Comm & Personal Rltnshp","345","001","100","3.495","42.0","34.0","14.0","7.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","71","3.225","18.3","45.1","18.3","8.5","7.0","1.4","1.4",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","51","3.549","54.9","19.6","17.6","3.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","186","3.417","29.0","38.2","19.9","2.7","2.7",".","1.6","5.9",".",".",".",".",".",".",".","."
"Television Industries","351","001","87","3.109","13.8","36.8","20.7","17.2","10.3","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","136","3.433","27.2","43.4","18.4","8.8","1.5",".",".",".",".",".",".",".","0.7",".",".","."
"History of Animated Film","357","001","59","3.190","28.8","22.0","23.7","11.9","8.5","3.4",".","1.7",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","42","3.176","26.2","19.0","11.9","14.3","7.1",".","2.4","16.7",".",".",".",".","2.4",".",".","."
"Rhetoric, Politics, Culture","360","001","73","3.528","46.6","32.9","6.8","6.8","1.4","1.4","1.4","2.7",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","84","3.208","29.8","25.0","16.7","16.7","10.7","1.2",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","102","3.559","41.2","35.3","8.8","2.9","2.9",".","1.0",".",".",".",".",".",".",".","7.8","."
"Topics in Digital Studies","377","001","39","3.421","38.5","30.8","15.4","10.3",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Asian Americans and Media","420","001","18","3.389","27.8","22.2","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech and Development Africa","444","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Television Criticism","451","001","32","2.968","18.8","25.0","12.5","25.0","12.5",".","3.1","3.1",".",".",".",".",".",".",".","."
"Italian Film","460","001","21","3.452","42.9","38.1","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Global Art Cinema","461","001","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.767","50.0","43.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","465","002","15","3.633","40.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.700","45.2","48.4",".","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Writing for TV & Film","466","001","19","3.474","47.4","15.8","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","44","3.585","52.3","29.5","4.5","2.3",".","2.3","2.3","4.5",".",".",".",".",".",".",".","2.3"
"Digital Game Cultures","547","001","15","3.333","53.3","13.3","20.0",".",".","13.3",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","32","3.203","37.5","18.8","12.5","15.6","12.5","3.1",".",".",".",".",".",".",".",".",".","."
