"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"225","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique II","Course Total","","41","3.885","87.8","7.3","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory
240","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Fundamentals-Dancers
241","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance History I
265","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance
268","001","","89","3.459","61.8","9.0","9.0","4.5","5.6","2.2","3.4","4.5",".",".",".",".",".",".",".","."
"311","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th V","Course Total","","18","3.981","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas
318","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv
319","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Functional Anat Mvmt Practices
330","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics of Dance Therapy
331","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Sound Dsgn-Perf/Visual Arts
341","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II
355","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching I
376","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","2","***","","","","","","","","","","","","","","","",""
"451","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"451","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"451","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"451","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater
452","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar
462","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching II
476","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp
560","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","5","***","","","","","","","","","","","","","","","",""
