"MATERIALS SCI AND ENGINEERI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Experience","260","001","","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thermodynamics of Materials","330","001","","29","2.931","24.1","27.6","6.9","20.7","6.9","13.8",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","","23","3.152","26.1","21.7","34.8","8.7",".","8.7",".",".",".",".",".",".",".",".",".","."
"","350","001","","100","3.105","19.0","27.0","27.0","16.0","8.0","3.0",".",".",".",".",".",".",".",".",".","."
"","350","002","","79","3.127","24.1","22.8","30.4","10.1","7.6","5.1",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","","Course Total","","179","3.115","21.2","25.1","28.5","13.4","7.8","3.9",".",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","351","001","","29","3.034","13.8","17.2","37.9","24.1","6.9",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","360","001","","29","3.672","48.3","41.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory III","362","001","","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","","63","4.000","93.7",".",".",".",".",".",".","1.6",".",".",".",".","3.2","1.6",".","."
"","401","045","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","","Course Total","","77","3.934","88.3","3.9","2.6",".",".",".",".","1.3",".",".",".",".","2.6","1.3",".","."
"Polymeric Materials","421","001","","36","3.389","22.2","47.2","22.2","2.8","5.6",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Corrosion","433","001","","17","3.500","29.4","23.5","29.4",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","","32","3.469","31.3","34.4","31.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","001","","29","3.500","31.0","41.4","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Metal Casting","461","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","462","001","","25","3.660","56.0","24.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Heat Treatment","465","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Project I","470","001","","39","3.910","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530","001","","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Fundamentals","550","001","","8","3.250","37.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","15","3.941","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Structural Analysis-Materials","748","001","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 153 of 469",""
