"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Smr-Prob in Audiology
921","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
