"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"The Historian's Craft","","Course Total","","211","3.571","58.3","23.2","7.1","4.3","4.3","0.5","1.9",".",".",".",".",".",".","0.5",".","."
"The American Jewish Experience","219","001","","51","3.489","25.5","45.1","11.8",".","2.0","2.0",".","13.7",".",".",".",".",".",".",".","."
"Transnational/Comp Hstry (Hum)","229","001","","15","3.611","40.0","6.7","6.7",".","6.7",".",".","40.0",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","32","3.889","68.8","12.5","3.1",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Idea, Past & Present","259","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","24","3.667","50.0","20.8","12.5","4.2",".",".",".","8.3",".",".",".",".",".","4.2",".","."
"American Legal History to 1860","261","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Africa: Introductory Survey","277","001","","36","3.520","33.3","27.8","2.8",".","2.8",".","2.8","30.6",".",".",".",".",".",".",".","."
"History at Work","300","001","","26","3.895","92.3",".",".",".",".",".","3.8",".",".",".",".",".",".","3.8",".","."
"History Internship Seminar","301","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","","75","3.529","46.7","24.0","13.3","1.3","4.0","2.7",".","8.0",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","","15","3.045","6.7","20.0","26.7","13.3","6.7",".",".","26.7",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","","56","3.704","55.4","19.6","10.7",".",".","1.8",".","12.5",".",".",".",".",".",".",".","."
"First World War","350","001","","84","3.613","32.1","9.5","2.4","1.2",".",".","2.4","52.4",".",".",".",".",".",".",".","."
"The Second World War","357","001","","70","3.764","62.9","32.9","2.9",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","","53","3.470","20.8","24.5","9.4","7.5",".",".",".","37.7",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","14","3.250","14.3","42.9","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"From Fascism to Today","366","001","","51","3.882","52.9","11.8","2.0",".",".",".",".","31.4",".",".",".",".","2.0",".",".","."
"The Cold War","375","001","","74","3.689","52.7","6.8","1.4","8.1","2.7",".",".","27.0",".",".",".",".",".",".","1.4","."
"Public History Workshop","401","002","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Christianity-Atlantic World","409","001","","18","3.182","27.8","5.6","16.7","5.6",".",".","5.6","38.9",".",".",".",".",".",".",".","."
"History-American Education","412","001","","27","3.796","77.8","11.1","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"History of Soviet Russia","419","002","","29","3.571","44.8","31.0","13.8","3.4","3.4",".",".",".",".",".",".",".","3.4",".",".","."
"The History of Punishment","426","001","","42","3.731","69.0","11.9","4.8","4.8",".","2.4",".",".",".",".",".",".",".",".","7.1","."
"Col,Natn&Minrty:PuertoRican","435","001","","8","3.500","62.5",".",".",".",".","12.5",".","12.5",".",".",".",".","12.5",".",".","."
"Amer Environmental History","460","001","","26","3.526","30.8","19.2","19.2","3.8",".",".",".","26.9",".",".",".",".",".",".",".","."
"","500","001","","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","500","004","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","","26","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","7","3.475","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Anti-Semitism-European Culture","518","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","600","004","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","006","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","","Page 258 of 469",""
