"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"43","002","","87","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43","003","","88","3.989","98.9",".","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","281","3.996","99.6",".","0.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum
461","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing I
467","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","001","","10","3.580","80.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"497","012","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","034","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"497","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"497","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"497","259","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","53","3.859","86.8","11.3",".",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"499","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Concert Choir
50","001","","35","3.857","94.3",".","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Prosem-Ethnomusicology
515","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Treble Choir
52","001","","56","3.964","94.6","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Choral Lit
541","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"543","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"543","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced String Pedagogy","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Percussion Literature
550","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"553","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"553","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting Seminar","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera
556","060","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop
557","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chorale
56","001","","42","3.905","97.6",".",".",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"562","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","4","***","","","","","","","","","","","","","","","",""
"565","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"565","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 303 of 469",""
