"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Sciences
101","001","","114","3.075","24.6","16.7","28.1","19.3","7.0","4.4",".",".",".",".",".",".",".",".",".","."
"102","001","","36","3.958","94.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","34","3.897","85.3","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","29","3.793","82.8","6.9","3.4",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Sciences Lab","Course Total","","99","3.889","87.9","6.1","4.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Careers in Animal Sciences
135","001","","70","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol&Apprec-Companion Anmls
200","001","","131","3.178","35.9","16.8","19.1","9.2","14.5","1.5","1.5","0.8",".",".",".",".",".","0.8",".","."
"Animal Welfare
245","001","","53","3.520","45.3","26.4","9.4","13.2","1.9",".",".","3.8",".",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Meat Sci & Technology
305","001","","32","3.156","25.0","12.5","46.9",".","15.6",".",".",".",".",".",".",".",".",".",".","."
"Animal Growth and Development
336","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics
366","001","","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm
370","001","","32","3.516","25.0","56.3","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ruminant Nutr & Metab
414","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl-Monogastrc Nutr Prncpl
415","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Reproductive Physiology
434","001","","36","2.694","13.9","16.7","13.9","33.3","13.9","2.8","5.6",".",".",".",".",".",".",".",".","."
"Animal Sciences Proseminar
435","001","","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Genetics
610","001","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis
682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Biochem
711","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ruminant Nutr Phys II
825","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
