"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study
299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Transport Phenom-Materials
331","001","","25","3.000","28.0","12.0","32.0","4.0","16.0","8.0",".",".",".",".",".",".",".",".",".","."
"Microprocessing-Materials
333","001","","24","3.063","25.0","16.7","25.0","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"350","001","","106","3.241","26.4","24.5","27.4","16.0","4.7","0.9",".",".",".",".",".",".",".",".",".","."
"350","002","","105","3.100","17.1","25.7","35.2","13.3","4.8","2.9","1.0",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","Course Total","","211","3.171","21.8","25.1","31.3","14.7","4.7","1.9","0.5",".",".",".",".",".",".",".",".","."
"Transformation of Solids
352","001","","27","3.407","33.3","25.9","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory II
361","001","","27","3.722","48.1","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"401","002","","69","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","003","","15","3.545","33.3","13.3","26.7",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"401","005","","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","109","3.907","88.1","2.8","3.7",".","0.9",".",".","4.6",".",".",".",".",".",".",".","."
"Intro Thin-Film Deposition
434","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Deformation of Solids
441","001","","36","3.700","58.3","27.8","2.8","8.3",".",".",".","2.8",".",".",".",".",".",".",".","."
"Intro Comp Mat Sci and Eng
460","001","","35","3.829","74.3","17.1","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project II
471","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics
474","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Polymeric Materials
521","001","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of Materials
551","001","","23","3.591","52.2","13.0","26.1","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Nanomaterials & Nanotechnology
553","001","","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Properties-Solid Surfaces
570","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.780","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Imperfectns&Mech Properties
750","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Matls Sci-Phase Transfm
752","001","","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
