"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","101","3.950","94.1","1.0","3.0","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"Climate and Climate Change","102","001","14","3.679","71.4","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","19","3.237","21.1","47.4","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Environmental Humanities","113","001","192","3.961","93.8","4.7","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","45","3.356","31.1","24.4","37.8","2.2","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","77","3.737","68.8","16.9","6.5","3.9","2.6",".",".",".",".",".",".",".",".",".","1.3","."
"Global Environmental Issues","139","001","69","3.261","21.7","30.4","40.6","1.4","2.9","1.4","1.4",".",".",".",".",".",".",".",".","."
"","153","001","35","3.926","82.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"","153","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literature and the Environment","","Course Total","36","3.929","83.3","13.9",".",".",".",".",".",".",".",".",".",".",".",".","2.8","."
"Global Chg: Atmospheric Iss","171","001","11","3.545","54.5","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","21","3.595","38.1","42.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","48","3.667","47.9","37.5","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in the Environment","202","001","30","3.900","90.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","166","3.938","88.0","7.8","1.2","0.6",".",".",".","1.8",".",".",".",".","0.6",".",".","."
"Soil: Ecosystem & Resource","230","001","10","2.050",".","10.0","20.0","20.0","30.0",".","20.0",".",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","32","3.734","65.6","18.8","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","31","3.419","51.6","16.1","16.1","3.2","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","21","2.952","38.1","4.8","14.3","4.8","33.3","4.8",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","42","3.750","69.0","4.8","9.5","7.1",".",".",".","9.5",".",".",".",".",".",".",".","."
"","317","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polar Regions","322","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems & LCA","326","001","29","3.846","72.4","6.9","10.3",".",".",".",".",".",".",".",".",".","10.3",".",".","."
"Global Warming:Science&Impacts","332","001","33","3.656","60.6","9.1","24.2","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Green Urbanism","333","001","26","3.727","57.7","11.5","11.5","3.8",".",".",".","11.5",".",".",".",".","3.8",".",".","."
"Environmental Conservation","339","001","46","3.076","21.7","19.6","34.8","13.0","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","7","3.214","14.3","57.1",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Governance","349","001","95","3.456","41.1","33.7","10.5","3.2","3.2","3.2","1.1","4.2",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","27","3.442","40.7","25.9","22.2",".","3.7","3.7",".",".",".",".",".",".","3.7",".",".","."
"Renewable Energy Systems","367","001","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","7","3.000","28.6",".","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","13","3.615","69.2",".","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 173 of 480",""
