"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","8","4.000","87.5","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","12.5","."
"Senior","","11","4.000","90.9","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","9.1","."
"Undergraduates","","20","4.000","90.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","10.0","."
"Graduate","","53","4.000","60.4","",".","",".","",".","",".","",".","",".","37.7","",".",".","",".","",".","",".",".","1.9","."
"Prof Yr 3","","23","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","28","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","51","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
