"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","223","3.723","64.1","22.0","8.5","3.6","1.3",".",".","0.4",".",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Pathophys for Nrsg Practice","318
001","158","3.677","49.4","38.6","10.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
001","159","2.918","5.7","25.2","34.0","22.6","10.7","1.3","0.6",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
001","155","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
001","155","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
003","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","44","",".",".",".",".",".",".",".",".",".","97.7","2.3",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","437
003","43","3.907","83.7","14.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, & Econ","Course Total","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
001","77","3.032","1.3","29.9","45.5","20.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"","443
002","76","3.086","2.6","36.8","38.2","19.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","443
003","43","3.012","9.3","18.6","46.5","16.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","196","3.048","3.6","30.1","42.9","19.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"","444
001","68","3.728","52.9","39.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","444
002","64","3.750","53.1","43.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, Econ, & Rsrch","Course Total","132","3.739","53.0","41.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transformative Nrsg Capstone","445
001","153","3.660","51.6","34.0","9.2","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","77","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
002","77","",".",".",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".","."
"","446
003","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","197","",".",".",".",".",".",".",".",".",".","99.5","0.5",".",".",".",".","."
"","447
001","100","3.970","95.0","4.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","103","3.981","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","Course Total","203","3.975","95.6","3.9","0.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Nursing","448
003","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interprof Collab Pract in HIV","467
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","15","3.703","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","18","3.630","44.4","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cmnty Spts for Ppl w/ Dementia","511
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Health","Course Total","2","***","","","","","","","","","","","","","","","",""
"","601
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 455 of 480",""
