"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Sports Economics","321","001","42","3.274","26.2","28.6","26.2","11.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330","001","84","3.125","22.6","25.0","19.0","23.8","8.3","1.2",".",".",".",".",".",".",".",".",".","."
"Microecon in Popular Culture","340","001","43","3.791","67.4","23.3","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371","001","41","3.195","26.8","24.4","34.1","9.8",".",".","4.9",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390","005","40","3.475","35.0","32.5","27.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","400","001","145","3.076","20.7","23.4","22.8","20.7","11.0","0.7","0.7",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","83","3.325","28.9","28.9","21.7","19.3","1.2",".",".",".",".",".",".",".",".",".",".","."
"","420","001","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","420","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","004","20","3.400","25.0","40.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","39","3.474","38.5","28.2","23.1","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","27","3.370","33.3","37.0","22.2",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","002","38","3.329","34.2","26.3","15.8","18.4","5.3",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","94","3.061","21.3","19.1","29.8","17.0","9.6","3.2",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","42","3.750","61.9","26.2","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Forecasting","460","001","72","3.611","38.9","45.8","13.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","86","3.006","18.6","22.1","18.6","23.3","17.4",".",".",".",".",".",".",".",".",".",".","."
"International Trade","464","001","40","3.350","32.5","20.0","32.5","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","76","3.257","18.4","38.2","28.9","7.9","5.3","1.3",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","40","3.363","35.0","22.5","27.5","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Analys","521","001","50","3.400","46.0","20.0","18.0","8.0","6.0",".","2.0",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","96","3.255","38.5","8.3","28.1","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"Fund Data Analytics for Econ","570","001","89","3.798","67.4","24.7","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis","581","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population Economics","623","001","31","3.097","29.0","16.1","25.8","16.1","6.5","6.5",".",".",".",".",".",".",".",".",".","."
"Issues in Internatl Trade","664","001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","691","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Data Analysis","695","002","42","3.310","33.3","21.4","28.6","7.1","9.5",".",".",".",".",".",".",".",".",".",".","."
"","699","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
