"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"133
Genetics in the News","001","","297","3.762","66.0","24.6","5.7","1.0","1.0","0.7",".",".",".",".",".",".",".",".","1.0","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","143","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","144","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","149","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","154","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","3.930","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","47","3.983","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"466
Principles of Genetics","001","","185","3.384","44.3","15.7","23.2","7.0","9.2","0.5",".",".",".",".",".",".",".",".",".","."
"468
General Genetics 2","001","","83","3.783","68.7","22.9","6.0","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"520
Neurogenetics","001","","59","3.720","62.7","25.4","10.2",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"522","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"522","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Dev Gen for Conserv Regen","001","","44","3.955","93.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Genomics & Proteomics","001","","15","3.600","60.0","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","46","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Clinical Cases in Med Genetics","001","","23","3.304","47.8",".","34.8",".","17.4",".",".",".",".",".",".",".",".",".",".","."
"615
Genetic Mapping","001","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"624
Molecular Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"627
Animal Developmental Genetics","001","","31","3.387","58.1","12.9","9.7","6.5","6.5","3.2","3.2",".",".",".",".",".",".",".",".","."
