"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102","001","67","3.806","82.1","13.4",".","1.5",".","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro to African History","106","001","25","3.318","12.0","16.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","56.0",".","."
"Hist:The Univ in the West","107","001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119","001","50","3.255","34.0","22.0","16.0","6.0","14.0","2.0",".","2.0",".",".",".",".",".",".","4.0","."
"Europe&Mod World 1815-On","120","001","71","3.713","40.8","18.3","4.2",".","2.8",".",".","33.8",".",".",".",".",".",".",".","."
"Britain since 1688","124","002","23","3.969","65.2","4.3",".",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"Green Screen","125","001","22","3.692","45.5",".","9.1",".","4.5",".",".","4.5",".",".",".",".",".",".","36.4","."
"Intro to World History","130","001","68","3.432","60.3","5.9","14.7","4.4","5.9","4.4","1.5","2.9",".",".",".",".",".",".",".","."
"History of War in Film","137","001","128","3.398","29.7","18.0","7.8","5.5","0.8",".","3.1","35.2",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","32","3.792","65.6","6.3",".",".",".",".","3.1","25.0",".",".",".",".",".",".",".","."
"History of Race and Inequality","143","001","29","3.793","69.0","24.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"A Global History of Now","146","001","50","3.808","20.0","2.0","4.0",".",".",".",".","74.0",".",".",".",".",".",".",".","."
"Long Black Freedom Struggle","155","001","34","3.560","38.2","23.5","2.9","5.9",".","2.9",".","26.5",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161","001","15","3.962","80.0","6.7",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"Historical Studies","200","001","14","3.375","35.7","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".","14.3",".",".","."
"","201","001","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","102","3.624","54.9","24.5","9.8","8.8","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"","201","003","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","004","42","3.610","73.8","9.5","2.4","4.8","2.4",".","4.8",".",".",".",".",".","2.4",".",".","."
"","201","006","14","3.286","35.7","21.4","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","201","007","43","3.826","76.7","11.6","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","008","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","009","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","010","14","3.615","50.0","14.3","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","201","011","11","3.700","54.5","18.2","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","201","013","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","014","41","3.610","63.4","14.6","7.3","9.8","4.9",".",".",".",".",".",".",".",".",".",".","."
"","201","015","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201","016","14","3.571","50.0","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","367","3.681","65.1","17.4","9.3","4.9","1.4","0.3","0.5",".",".",".",".",".","0.8","0.3",".","."
"West Intel&Rel Hist since 1500","209","001","44","3.482","27.3","25.0","4.5","4.5",".",".","2.3","36.4",".",".",".",".",".",".",".","."
"Jews and American Pop. Culture","213","001","18","3.735","55.6","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Explorations in Amer Hist (H)","221","001","47","3.227","34.0","29.8","8.5","4.3","8.5","8.5",".","6.4",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","002","28","3.786","75.0","14.3","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"History of Race and Ethnicity","227","001","25","3.740","84.0","8.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Transnational/Comp Hstry (Hum)","229","001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prisons: Antiquity to Supermax","235","001","30","3.556","40.0","10.0","3.3","3.3",".",".","3.3","40.0",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","28","4.000","46.4",".",".",".",".",".",".","53.6",".",".",".",".",".",".",".","."
