"ATMOSPHERIC & OCEANIC SCIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","135","2.520","13.3","6.7","17.0","22.2","21.5","8.9","3.7",".",".",".",".",".",".","6.7",".","."
"Weather and Climate","101","001","57","3.325","45.6","12.3","21.1","7.0","12.3","1.8",".",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","41","3.634","61.0","19.5","12.2","4.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","35","3.614","37.1","54.3","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","21","3.119","28.6","23.8","19.0","19.0","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","28","3.643","42.9","46.4","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","15","3.400","46.7","20.0","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","15","3.667","73.3",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","33","3.576","39.4","39.4","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meteorological Measurements","404","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","23","3.609","56.5","17.4","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","19","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Mesoscale Meteorology","753","001","8","3.563","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","801","001","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","801","002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","","Course Total","18","3.618","38.9","38.9","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Science Comm ATM OCN SCI","902","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","11","",".",".",".",".",".",".",".","27.3",".",".",".","72.7",".",".",".","."
"","990","020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 308 of 486",""
