"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","182","3.434","46.2","20.9","18.7","7.1","3.8","2.2","0.5","0.5",".",".",".",".",".",".",".","."
"Intro to Comparative Politics","120","001","107","3.619","57.9","21.5","10.3","4.7","1.9","1.9",".","0.9",".",".",".",".","0.9",".",".","."
"Intro-Internatl Relations","140","001","228","3.489","35.1","37.7","18.0","6.1","0.9","0.9",".","1.3",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","166","3.709","59.6","31.3","2.4","1.8","1.8","0.6","0.6","1.8",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","126","3.234","24.6","34.9","22.2","10.3","2.4","5.6",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","18","3.722","72.2","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","272","001","69","3.654","44.9","39.1","14.5",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","272","002","69","3.724","53.6","42.0",".",".",".",".","1.4",".",".",".",".",".",".","2.9",".","."
"Intro to Public Policy","","Course Total","138","3.689","49.3","40.6","7.2",".",".",".","0.7",".",".",".",".",".","0.7","1.4",".","."
"Political Choice and Strategy","274","001","56","3.259","23.2","30.4","28.6","14.3","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302","001","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Political Parties","306","001","50","3.630","40.0","46.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"United States Congress","311","001","51","3.740","74.5","7.8","3.9","5.9",".",".","2.0","5.9",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","54","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Theories-Internationl Security","343","001","69","3.978","94.2","1.4","1.4",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"The Russian War on Ukraine","344","001","90","3.333","26.7","32.2","13.3","5.6","1.1","2.2","2.2","16.7",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","93","3.753","72.0","15.1","10.8",".","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Prin-International Law","356","001","97","3.625","49.5","34.0","8.2","5.2","2.1",".",".","1.0",".",".",".",".",".",".",".","."
"Contemp Amer Polit Thought","361","001","50","3.385","28.0","38.0","20.0","8.0",".",".","2.0",".",".",".",".",".",".",".","4.0","."
"Athenian Democracy","362","001","25","3.240","32.0","24.0","32.0",".","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"Islam and Politics","370","001","44","3.214","45.5","13.6","13.6","9.1","4.5","4.5","4.5",".",".",".",".",".","4.5",".",".","."
"","400","001","53","3.849","84.9","11.3","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"","400","002","91","3.681","73.6","9.9","7.7","5.5",".","2.2","1.1",".",".",".",".",".",".",".",".","."
"","400","003","22","3.523","50.0","31.8","13.6",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","400","004","44","3.295","34.1","36.4","9.1","9.1","6.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","210","3.626","65.7","18.1","7.1","4.3","1.4","1.4","1.9",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","401","001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"State Gov & Public Policy","405","001","55","3.882","85.5","9.1","3.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","45","3.860","86.7","4.4",".",".","2.2","2.2",".","4.4",".",".",".",".",".",".",".","."
"The American Constitution I","411","001","51","3.696","52.9","23.5","11.8",".","2.0",".",".","9.8",".",".",".",".",".",".",".","."
"Supreme Ct as Pol Instit","414","001","77","3.763","58.4","36.4","1.3","2.6",".",".",".","1.3",".",".",".",".",".",".",".","."
"American Judicial System","417","001","41","3.487","41.5","31.7","4.9","12.2","4.9",".",".","2.4",".",".",".",".",".","2.4",".","."
"Politics Gender Rights MidEast","435","001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460","001","21","3.595","66.7","14.3","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 331 of 486",""
