"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","106
001","776","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"","106
100","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"Skills for Business Analysis","Course Total","796","",".",".",".",".",".",".",".",".",".","99.0","1.0",".",".",".",".","."
"Pers & Prof Foundation in Bus","110
100","20","3.350","75.0","5.0",".","5.0",".","5.0","10.0",".",".",".",".",".",".",".",".","."
"Data Analysis for Business I","206
100","41","3.341","34.1","19.5","39.0","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"Data Analysis for Business II","207
100","35","3.257","31.4","28.6","17.1","11.4","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"","240
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","35","3.343","45.7","22.9","11.4","11.4",".","8.6",".",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","80","3.713","76.3","10.0","5.0","5.0",".","3.8",".",".",".",".",".",".",".",".",".","."
"Sustainable Capitalism","250
001","86","3.476","40.7","32.6","14.0","5.8","4.7","1.2",".","1.2",".",".",".",".",".",".",".","."
"","301
001","455","3.275","15.4","42.6","29.0","10.1","2.2",".","0.7",".",".",".",".",".",".",".",".","."
"","301
100","46","3.067","26.1","15.2","32.6","15.2","2.2","2.2","4.3",".",".",".",".",".","2.2",".",".","."
"Business Law","Course Total","501","3.256","16.4","40.1","29.3","10.6","2.2","0.2","1.0",".",".",".",".",".","0.2",".",".","."
"","306
001","96","3.258","26.0","26.0","32.3","8.3","4.2","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"","306
002","109","3.170","37.6","11.9","17.4","20.2","11.0",".","1.8",".",".",".",".",".",".",".",".","."
"","306
003","111","3.359","44.1","13.5","19.8","12.6","9.0",".",".",".",".",".",".",".","0.9",".",".","."
"","306
004","170","3.271","31.2","20.0","32.9","7.1","7.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","486","3.265","34.6","17.9","26.3","11.5","8.0","0.4","0.8",".",".",".",".",".","0.4",".",".","."
"","307
001","103","3.194","19.4","39.8","16.5","12.6","9.7","1.9",".",".",".",".",".",".",".",".",".","."
"","307
002","35","3.114","22.9","17.1","34.3","17.1","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","307
003","99","3.313","36.4","27.3","16.2","13.1","3.0","3.0","1.0",".",".",".",".",".",".",".",".","."
"","307
004","104","3.385","33.7","35.6","12.5","12.5","4.8","1.0",".",".",".",".",".",".",".",".",".","."
"","307
005","84","3.429","36.9","38.1","11.9","9.5",".","2.4","1.2",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","425","3.308","30.6","33.6","16.0","12.5","4.7","2.1","0.5",".",".",".",".",".",".",".",".","."
"Cloud Based Business Analytics","308
001","26","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","241","3.100","19.9","23.2","27.8","14.5","10.8",".","1.2","0.8",".",".",".",".",".",".","1.7","."
"Mgmt & Mrktg Non-Bus Majors","311
001","290","3.497","49.7","28.3","7.6","6.2","4.8","1.7","1.0","0.7",".",".",".",".",".",".",".","."
"Math Business Analytics","317
001","32","3.406","34.4","25.0","31.3","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","18","3.333","33.3","44.4","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","360
005","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","17","3.676","64.7","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","360
007","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","17","3.529","29.4","52.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","360
009","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
010","18","3.611","61.1","22.2","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","360
011","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
012","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
013","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
