"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"502
Molec & Metabolic Basis of Med","001","","90","3.244","37.8","10.0","32.2","7.8","10.0","2.2",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","90","3.428","37.8","25.6","25.6","6.7","4.4",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","90","3.606","54.4","18.9","22.2","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","90","3.961","93.3","5.6","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","95","3.711","60.0","27.4","9.5","1.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"556
Veterinary Pharmacology","001","","95","3.379","33.7","27.4","27.4","6.3","4.2","1.1",".",".",".",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812
Rsch Ethics&Career Development","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
