"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"900","003","","23","3.953","91.3",".","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Internship in Ed Admin","Course Total","","47","3.960","83.0",".","4.3",".",".",".",".",".",".",".",".",".","12.8",".",".","."
"940","001","","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"940","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","003","","15","3.800","93.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"940","004","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"940","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","Course Total","","93","3.956","94.6","2.2",".",".",".","1.1",".",".",".",".",".",".","2.2",".",".","."
"961
Critical Issues in Ed Policy","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","61","",".",".",".",".",".",".",".","77.0","1.6",".",".","19.7","1.6",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","5.6",".","5.6","."
