"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","427","003","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","","Course Total","","75","3.500","38.7","29.3","25.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432","001","","23","3.457","39.1","30.4","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","","12","3.000","25.0","16.7","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Communication Systems I","436","001","","30","3.650","53.3","30.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Microproc System Dsgn","453","001","","36","3.875","80.6","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile Computing Laboratory","454","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455","001","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455","002","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Design in ECE","","Course Total","","45","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","22","3.114","13.6","27.3","31.8","22.7","4.5",".",".",".",".",".",".",".",".",".",".","."
"","489","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Senior Design Project","491","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Software Engineering","506","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","","11","2.818","9.1","27.3","9.1","45.5",".","9.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","001","","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","532","002","","19","3.711","57.9","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","532","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","004","","18","3.056","22.2","33.3","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","","54","3.463","46.3","29.6","9.3","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","","37","3.919","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Sensing","535","001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Networks","537","001","","36","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539","001","","26","3.596","57.7","11.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Analg MOS Integrtd Cir Dsgn","541","001","","22","3.523","50.0","18.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548","001","","24","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","551","001","","80","3.331","25.0","35.0","25.0","11.3","3.8",".",".",".",".",".",".",".",".",".",".","."
"","551","004","","26","3.250","23.1","26.9","34.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","","Course Total","","106","3.311","24.5","33.0","27.4","10.4","4.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552","001","","75","3.260","30.7","26.7","14.7","18.7","4.0","2.7",".",".",".",".",".",".","1.3","1.3",".","."
"Digital Circuits&Components","555","001","","80","3.253","33.8","17.5","30.0","10.0","2.5","5.0",".",".",".",".",".",".","1.3",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 132 of 481",""
