"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"890","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"890","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","107","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","111","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","113","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","114","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","115","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","117","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","122","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","114","",".",".",".",".",".",".",".","86.8",".",".",".","12.3","0.9",".",".","."
"Special Topics in ECE
901","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Plasma Physics
922","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 135 of 481",""
