"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","24","3.833","87.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","55","3.691","78.2","7.3","5.5","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Love&Death: Intro Pol Lit Cul","215","001","","18","3.769","50.0","11.1","11.1",".",".",".",".","22.2",".",".",".",".",".","5.6",".","."
"Dostoevsky in Translation","222","001","","85","3.567","44.7","34.1","9.4","2.4","5.9",".",".","3.5",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","21","3.342","23.8","28.6","28.6","4.8","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Represnt-Jew in E Eurpn Cul","229","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","233","001","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","233","002","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","","Course Total","","13","3.467","38.5","38.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Literature and Revolution","238","001","","19","3.500","57.9","15.8","15.8",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","15","3.893","86.7",".",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Italian National Identity","248","001","","17","3.844","76.5","5.9","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Lit Tran: Modern Italy","254","001","","62","3.839","77.4","12.9","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","","87","3.799","69.0","9.2","6.9","1.1","2.3",".",".","11.5",".",".",".",".",".",".",".","."
"Adventure Lit & Film","259","001","","98","3.728","69.4","13.3","3.1","5.1","1.0","2.0",".","4.1",".",".",".",".",".","2.0",".","."
"Chinese Lit in Translation","261","001","","12","3.083","33.3","8.3","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","31","3.700","58.1","25.8","9.7",".","3.2",".",".",".",".",".",".",".",".",".","3.2","."
"","275","002","","36","3.597","63.9","25.0","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","67","3.637","61.2","25.4","7.5",".","1.5",".","3.0",".",".",".",".",".",".",".","1.5","."
"","276","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","276","002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","","Course Total","","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"German Fairytales (Re)imagined","280","001","","52","3.885","84.6","11.5","1.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Nordic Child","320","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","","55","3.423","30.9","36.4","18.2","5.5","5.5",".",".","3.6",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","002","","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Sexual Politics in Scandinavia","438","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
