"LAW","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Taxation I","742","001","","70","1.516","24.3",".","12.9",".","1.4",".",".","8.6",".",".",".",".",".",".",".","."
"","743","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743","002","","12","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","743","003","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","10.0"
"","743","004","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","743","005","","12","",".",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","8.3"
"Negotiations","","Course Total","","58","",".",".",".",".",".",".",".","89.7",".",".",".",".",".",".",".","10.3"
"Administrative Law","744","001","","72","1.833","25.0",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Employment Law","747","001","","14","0.846","14.3",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Antitrust","748","001","","34","1.485","11.8","8.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patent Law","751","001","","6","0.000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Copyright Law","752","001","","24","1.405","12.5","4.2","16.7",".","4.2",".",".","12.5",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753","001","","18","1.375","22.2",".","5.6",".","5.6","5.6",".","11.1",".",".",".",".",".",".",".","."
"Health Justice Clinic","768","001","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","10.0"
"Select Topics-Estate Planning","771","001","","13","1.917","15.4",".","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Islamic Law & Jurisprudence","785","001","","6","0.600",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Government Law","795","001","","37","1.378","18.9",".","18.9",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","798","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","798","002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Profess. Respon. & Crim Prac.","","Course Total","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Evidence","801","001","","87","0.613","8.0",".","6.9",".",".",".",".","13.8",".",".",".",".",".",".",".","."
"Advanced Civil Procedure","802","001","","36","1.059","19.4",".","5.6",".","2.8",".",".","2.8",".",".",".",".",".",".","2.8","."
"Statutory Interpretation","805","001","","39","2.026","33.3",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808","001","","24","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","808","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808","004","","15","0.467","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","","44","0.467","2.3",".","2.3",".",".",".",".","45.5",".",".",".",".",".",".",".","20.5"
"Accounting for Lawyers","811","001","","29","2.333",".",".","3.4",".","6.9",".",".","62.1",".",".",".",".",".",".",".","27.6"
"","815","001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Moot Court","","Course Total","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Bus Org: Pship LLC Close Corps","817","001","","74","1.786","23.0",".","23.0",".","4.1",".",".","5.4",".",".",".",".",".",".",".","."
"Bankruptcy Law","821","001","","14","1.308","21.4",".","7.1",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822","001","","38","1.563","15.8",".","21.1",".","2.6",".",".","10.5",".",".",".",".","2.6",".","2.6","."
"Insurance Law","825","001","","9","1.944","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Law","827","001","","44","1.709","18.2",".","29.5","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"Interntl Business Transaction","828","001","","28","1.839","17.9","10.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 377 of 481",""
