"DERMATOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"229
DERM","","","","","","","","","","","","","","","","","","","",""
"Skin Biology and Skin Diseases
601","001","","52","3.904","82.7","15.4","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research-DERM","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Clinical Derm Elective","Course Total","","4","***","","","","","","","","","","","","","","","",""
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Elective","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
