"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","9","3.308","22.2","44.4","22.2",".","11.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","43","3.488","34.9","39.5","20.9",".","4.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","54","3.462","33.3","40.7","20.4",".","5.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","14","3.903","64.3","14.3",".",".",".","",".","",".","21.4","",".",".","",".",".","",".",".",".","."
"Graduate","182","3.808","64.3","16.5","4.9","0.5","0.5","",".","",".","8.8","",".",".","",".","3.8","",".",".","0.5","."
"Prof Yr 1","39","",".",".",".",".",".","",".","",".",".","",".","100.0","",".",".","",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","","100.0","",".",".","",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","92","4.000","4.3",".",".",".",".","",".","",".","95.7","",".",".","",".",".","",".",".",".","."
"Professionals","137","4.000","3.6",".",".",".",".","",".","",".","65.7","",".","30.7","",".",".","",".",".",".","."
