"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.917","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","27.3","."
"Found. Infant Mental Health
712","005","","24","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"Reflective Practices IMH I
713","005","","24","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"ACP Consultation I
714","005","","6","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Sports Psych Athlete Mtl Hlth
901","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Ind Reading and Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Individual Clinical","Course Total","","5","***","","","","","","","","","","","","","","","",""
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiat Consult Adv Clin Exp","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Geriatric Elective","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Dementia and Public Health
931","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"934","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Inpt Adv Clin Exp","Course Total","","4","***","","","","","","","","","","","","","","","",""
"946","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 443 of 481",""
