"BUS","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","Dept. Total","6771","3.541","46.5","18.2","9.2","4.5","1.6","0.5","0.4","0.0","",".","18.5","0.1","0.2","0.0","0.0","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","666","3.807","39.9","3.5","1.5","0.9","0.9",".","0.3",".","",".","52.4","0.6",".",".",".",".","."
"Sophomore","","1609","3.486","40.1","8.9","7.1","3.3","1.4","0.4","0.3",".","",".","38.4","0.2",".",".",".",".","."
"Junior","","1776","3.426","40.9","24.4","10.9","7.7","2.3","0.8","0.7",".","",".","12.3","0.1",".",".",".",".","."
"Senior","","1545","3.551","50.0","24.7","12.4","5.5","1.8","0.7","0.4","0.1","",".","4.1","0.1",".","0.1","0.1",".","."
"Undergraduates","","5596","3.499","43.1","17.5","9.1","5.0","1.7","0.6","0.4","0.0","",".","22.3","0.2",".","0.0","0.0",".","."
"Special","","37","3.480","24.3","18.9",".","5.4","2.7",".",".",".","",".","5.4",".",".",".","5.4","37.8","."
"Graduate","","1135","3.742","64.1","21.3","9.8","1.8","0.8","0.1",".",".","",".","0.5",".","1.3",".",".","0.3","."
"Prof Yr 2","","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","6771","3.541","46.5","18.2","9.2","4.5","1.6","0.5","0.4","0.0","",".","18.5","0.1","0.2","0.0","0.0","0.3","."
