"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"","210
005","","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","210
006","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arch Design Studio","Course Total","","27","3.741","74.1","22.2",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Making the American Landscape","239
001","","27","3.741","63.0","22.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","250
004","","76","3.632","72.4","7.9","10.5","5.3",".","1.3","2.6",".",".",".",".",".",".",".",".","."
"History of Landscape Arch","260
001","","162","3.652","63.6","9.9","6.2","1.2","2.5","2.5","1.2",".",".",".",".",".",".",".","13.0","."
"Dimensions-Material Culture","264
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Promoting Environments","321
002","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353
001","","18","2.944","16.7","16.7","27.8","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361
001","","28","3.741","50.0","42.9","3.6",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","6","3.286","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.674","72.2",".","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Plants for Eco Design II","381
001","","21","3.595","57.1","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Land Arch","397
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Geodesign methods","511
001","","68","3.904","86.8","8.8","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Design and Open Space","562
001","","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581
002","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Prescribed Fire Implementation","Course Total","","26","3.827","92.3","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Land Arch Capstone II","611
001","","29","3.672","51.7","31.0","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","20","3.800","75.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
