"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"","235
001","98","2.887","20.4","19.4","19.4","17.3","15.3","4.1","3.1","1.0",".",".",".",".",".",".",".","."
"","235
002","89","2.843","11.2","25.8","14.6","25.8","19.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"Human Physiology and Health","Course Total","187","2.866","16.0","22.5","17.1","21.4","17.1","3.2","2.1","0.5",".",".",".",".",".",".",".","."
"","335
001","47","3.032","36.2","4.3","27.7","10.6","14.9","4.3","2.1",".",".",".",".",".",".",".",".","."
"","335
003","49","3.214","46.9","10.2","16.3","8.2","10.2","8.2",".",".",".",".",".",".",".",".",".","."
"","335
004","48","3.229","41.7","10.4","29.2","6.3","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","335
005","45","3.114","33.3","8.9","33.3",".","17.8","4.4",".",".",".",".",".",".","2.2",".",".","."
"","335
006","44","3.068","36.4","15.9","15.9","11.4","11.4","6.8","2.3",".",".",".",".",".",".",".",".","."
"","335
007","38","2.868","21.1","13.2","34.2","7.9","13.2","7.9","2.6",".",".",".",".",".",".",".",".","."
"","335
009","49","3.115","38.8","10.2","28.6","4.1","6.1","6.1","4.1","2.0",".",".",".",".",".",".",".","."
"","335
010","48","3.448","47.9","20.8","14.6","10.4","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"","335
011","46","2.978","28.3","10.9","30.4","10.9","10.9","6.5","2.2",".",".",".",".",".",".",".",".","."
"","335
012","45","3.200","46.7","8.9","20.0","4.4","13.3","4.4","2.2",".",".",".",".",".",".",".",".","."
"Physiology","Course Total","459","3.133","38.1","11.3","24.8","7.4","10.5","5.9","1.5","0.2",".",".",".",".","0.2",".",".","."
"","337
001","183","3.260","43.2","17.5","13.7","11.5","8.7","4.9","0.5",".",".",".",".",".",".",".",".","."
"","337
002","192","3.193","35.9","20.3","16.7","12.0","9.9","4.7","0.5",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","375","3.225","39.5","18.9","15.2","11.7","9.3","4.8","0.5",".",".",".",".",".",".",".",".","."
"","338
001","30","3.233","43.3","16.7","13.3","10.0","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"","338
002","32","2.922","18.8","28.1","25.0","6.3","9.4","9.4","3.1",".",".",".",".",".",".",".",".","."
"","338
003","32","3.188","37.5","18.8","15.6","12.5","9.4","6.3",".",".",".",".",".",".",".",".",".","."
"","338
004","30","3.250","36.7","26.7","16.7","10.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","338
005","28","3.107","32.1","21.4","32.1",".","3.6","3.6","7.1",".",".",".",".",".",".",".",".","."
"","338
006","32","3.516","53.1","21.9","9.4","6.3","9.4",".",".",".",".",".",".",".",".",".",".","."
"","338
007","26","3.154","34.6","15.4","19.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"","338
008","29","3.138","34.5","24.1","6.9","24.1","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"","338
009","29","3.121","37.9","13.8","20.7","10.3","6.9","10.3",".",".",".",".",".",".",".",".",".","."
"","338
010","28","3.000","32.1","17.9","21.4","10.7","3.6","10.7","3.6",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","296","3.166","36.1","20.6","17.9","9.8","8.1","5.4","2.0",".",".",".",".",".",".",".",".","."
"","399
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund of Human Physiology","435
001","89","3.270","48.3","11.2","15.7","6.7","12.4","5.6",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
