"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Intro to Digital Printmaking","348
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","376
003","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Darkroom Photography","Course Total","","31","3.806","77.4","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design History","438
001","","38","3.842","89.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","10","3.600","70.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","448
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
010","","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.906","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","454
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454
002","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","Course Total","","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Branding Design","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Graphics","463
001","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
003","","11","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","470
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in 4D Art","Course Total","","25","3.800","80.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","476
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Photography","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Letterpress Printing","486
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Making Comics 2","507
001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","508
001","","72","3.867","76.4","5.6","4.2","1.4","1.4",".",".",".",".",".",".",".","1.4",".","9.7","."
"","508
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","Course Total","","74","3.871","77.0","5.4","4.1","1.4","1.4",".",".",".",".",".",".",".","1.4",".","9.5","."
"Advanced Drawing I","512
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
