"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"823
Topics-Operations Research","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"854
Topics-Organization Design","001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","25","4.000","84.0",".",".",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"913
Smr in Decision Sciences","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smr in Operations Research","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Adv Topics-Manufacturng Sys","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Grad Smr-Industrial Engr","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","19","4.000","73.7",".",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","3.970","73.3","6.7",".",".",".",".",".","6.7",".",".",".","13.3",".",".",".","."
