"GERMAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"Rdg-Contemp German Cult&Civ","241","001","","17","3.313","23.5","23.5","41.2",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Intensive German III","273","001","","15","3.633","60.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","284","001","","13","2.917","30.8","7.7","23.1","7.7","15.4",".","7.7","7.7",".",".",".",".",".",".",".","."
"","284","002","","15","3.267","20.0","26.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","","Course Total","","28","3.111","25.0","17.9","35.7","3.6","10.7",".","3.6","3.6",".",".",".",".",".",".",".","."
"","285","001","","13","2.917","30.8","7.7","23.1","7.7","15.4",".","7.7","7.7",".",".",".",".",".",".",".","."
"","285","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","","Course Total","","20","3.316","55.0","5.0","15.0","5.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Directed Study","299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Realismus und Naturalismus","304","001","","13","3.678","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","311","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem Dutch-Grad Stdts","313","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Structure of German","351","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-Dutch Culture","378","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"German for Grad Reading I","391","001","","20","3.632","45.0","30.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"D Kulturgeschichte bis 1648","409","001","","14","3.898","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","412","001","","11","3.450","36.4","27.3","9.1","18.2",".",".",".","9.1",".",".",".",".",".",".",".","."
"","610","001","","21","3.571","38.1","47.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Smr-German Culture Studies","","Course Total","","28","3.667","50.0","35.7","3.6","7.1",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Survey German Lit to 1750","611","001","","22","3.727","59.1","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"History-German Language","650","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonetics","671","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis-1st Sem","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Sr Honors Sem-German Lit","683","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Weimr Rep,Fasm,Exil 1919-45","706","001","","16","3.867","68.8","25.0",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Special Topics-German Lit","711","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"College Teaching of German","720","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Old Germanic Languages","755","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
