"EGR","","","","","","","","","","","","","","","","","","","","",""
"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Spatial Measurements","251","001","","57","3.018","22.8","19.3","17.5","19.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","45","3.023","26.7","11.1","26.7","15.6","13.3","4.4",".",".",".",".",".",".",".","2.2",".","."
"Elec-op&Micro Remote Sensng","302","001","","18","2.471","5.6","5.6","16.7","38.9","16.7","11.1",".",".","5.6",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","","11","3.227","27.3","27.3","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","62","2.573","3.2","9.7","24.2","30.6","29.0","3.2",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","38","3.013","10.5","21.1","44.7","7.9","15.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","92","2.783","19.6","7.6","28.3","7.6","33.7","2.2","1.1",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","328","001","","12","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","43","2.357","11.6","2.3","16.3","16.3","34.9","16.3",".","2.3",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","38","2.539","10.5","15.8","21.1","18.4","21.1","5.3","7.9",".",".",".",".",".",".",".",".","."
"Structural Engineering","341","001","","39","2.789","10.3","12.8","28.2","17.9","28.2",".",".","2.6",".",".",".",".",".",".",".","."
"Steel Structures I","345","001","","35","2.914","8.6","14.3","40.0","25.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"Principles of Land Info Sys","353","001","","40","2.713","20.0","2.5","27.5","5.0","42.5","2.5",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","46","2.956","21.7","21.7","17.4","13.0","17.4","6.5",".","2.2",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395","001","","88","3.381","30.7","31.8","23.9","10.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Photogrammetry","405","001","","7","3.900","57.1","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","14.3"
"Hydrologic Design","414","001","","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","15","3.100","13.3","20.0","53.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Short Course in Surveying","450","001","","23","2.841","17.4","17.4","21.7","13.0","21.7",".","4.3","4.3",".",".",".",".",".",".",".","."
"Legal Aspect-Land Surveying","455","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Route Location","457","001","","10","3.111",".","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Project Estimatng&Schedulng","492","001","","41","3.613","53.7","19.5","17.1","7.3",".",".",".","2.4",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","37","2.944","21.6","13.5","13.5","29.7","18.9",".",".","2.7",".",".",".",".",".",".",".","."
"Environmental Organic Chem","502","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Pollution Cntrl","521","001","","27","3.241","22.2","37.0","18.5","18.5",".","3.7",".",".",".",".",".",".",".",".",".","."
"Retaining Structures","531","001","","29","3.304","20.7","20.7","51.7","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"Airphoto Intrprt-Terrn Eval","555","001","","8","3.250","37.5","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pln/Dsgn/Cnstrctn Integratn","595","001","","37","3.892","83.8","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","","9","3.867","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","8","3.313","37.5","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Hydrology","","Course Total","","9","3.278","33.3","11.1","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Envir Engr","629","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
