"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","29","3.172","31.0","20.7","13.8","20.7","13.8",".",".",".",".",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"360
Principles-Animal Breeding","001","","29","2.603","6.9","20.7","17.2","17.2","27.6","10.3",".",".",".",".",".",".",".",".",".","."
"375","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","20","2.600","10.0","10.0","20.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","25","3.340","36.0","28.0","16.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","9","3.111","11.1","11.1","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.895","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","10","3.500","20.0","10.0","20.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"900","001","","14","",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".",".",".","."
"900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","32","3.964","40.6","3.1",".",".",".",".",".","53.1","3.1",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","18","3.955","72.2",".","5.6",".",".",".",".","16.7",".",".",".","5.6",".",".",".","."
