"","990
020","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
026","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
028","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Grad Research & Thesis","Course Total","27","4.000","70.4",".",".",".",".",".",".","14.8","",".",".","",".","14.8","",".",".",".","."
"ENTOM
355","Dept. Total","162","3.493","53.7","17.3","10.5","5.6","4.9","2.5","0.6","2.5","",".",".","",".","2.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","9","2.907","33.3","22.2",".","22.2","11.1","11.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","23","2.931","21.7","17.4","26.1","13.0","17.4","4.3",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","59","3.309","42.4","23.7","16.9","6.8","5.1","3.4","1.7",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","92","3.188","37.0","21.7","17.4","9.8","8.7","4.3","1.1",".","",".",".","",".",".","",".",".",".","."
"Special","","5","3.833","60.0","40.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","65","3.952","76.9","9.2","1.5",".",".",".",".","6.2","",".",".","",".","6.2","",".",".",".","."
"","Dept. Total","162","3.493","53.7","17.3","10.5","5.6","4.9","2.5","0.6","2.5","",".",".","",".","2.5","",".",".",".","."
