"EDU","","","","","","","","","","","","","","","","","","","",""
"","THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","33","3.547","60.6","21.2","3.0",".","9.1",".","3.0","3.0",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148","001","55","3.870","76.4","18.2","3.6",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"","475","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurology","502","001","103","3.495","32.0","40.8","21.4","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503","001","103","3.432","25.2","43.7","24.3","5.8","1.0",".",".",".",".",".",".",".",".",".",".","."
"Phy Ther Procedures II","522","001","60","3.259","16.7","26.7","48.3","3.3",".","1.7",".",".",".",".",".",".","1.7",".",".","1.7"
"Cardiovasc&Pulmonry Treatmt","523","001","84","3.195","14.3","35.7","29.8","11.9","4.8","1.2",".",".",".",".",".",".","1.2",".",".","1.2"
"Therapeutic Use of Activity","524","001","43","3.640","32.6","62.8","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns-Phy Ther Practice","527","001","25","3.140","12.0","28.0","44.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530","001","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Exercise II","535","001","59","3.667","40.7","49.2","5.1","1.7",".",".",".",".",".",".",".",".","1.7",".",".","1.7"
"Basic Occ Ther Pro Practice","538","001","44","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Professional Issues III","540","001","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546","001","17","3.735","70.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570","001","25","3.700","60.0","24.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639","001","44","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648","001","44","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649","001","44","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship II","651","001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship III","652","001","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","","Course Total","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","002","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","","Course Total","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","665","001","28","",".",".",".",".",".",".",".",".",".","96.4",".",".",".",".",".","3.6"
"","665","002","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Phy Ther Mgmnt Strategy","","Course Total","59","",".",".",".",".",".",".",".",".",".","98.3",".",".",".",".",".","1.7"
"","699","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Resrch Issues-Aging & Hlth","750","001","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Special Topics","775","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 105 of 370",""
