"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","160","3.125","30.6","8.8","41.3","2.5","13.1","3.1","0.6",".",".",".",".",".",".",".",".","."
"","302
001","24","3.438","41.7","29.2","20.8",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","002
302","24","3.396","29.2","20.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","25","3.380","32.0","28.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
302","21","3.476","42.9","19.0","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
302","21","3.524","33.3","38.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
006","22","3.432","36.4","22.7","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","137","3.438","35.8","26.3","31.4","4.4","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","116","3.547","54.3","5.2","37.9","0.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"","324
001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","10","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","43","3.779","76.7","2.3","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","456","3.368","42.5","12.5","35.5","2.4","5.5","1.3","0.2",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","216","3.152","30.6","15.7","36.1","4.2","10.2","2.8","0.5",".",".",".",".",".",".",".",".","."
"Junior","","184","3.510","47.8","12.5","37.5","0.5","1.6",".",".",".",".",".",".",".",".",".",".","."
"Senior","","56","3.697","71.4",".","26.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","456","3.368","42.5","12.5","35.5","2.4","5.5","1.3","0.2",".",".",".",".",".",".",".",".","."
"","Dept. Total","456","3.368","42.5","12.5","35.5","2.4","5.5","1.3","0.2",".",".",".",".",".",".",".",".","."
