"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"","100
047","","19","3.553","52.6","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","","19","3.263","31.6","42.1","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","100
049","","19","2.921","10.5","21.1","21.1","36.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","100
050","","20","3.350","30.0","30.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Composition","Course Total","","936","3.353","30.0","31.7","25.2","7.8","4.3","0.4","0.5",".",".",".",".",".",".",".",".","."
"","110
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Intmed Engl Lang Skills","114
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
004","","18","",".",".",".",".",".",".",".",".",".","88.9","5.6",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","","65","",".",".",".",".",".",".",".",".",".","95.4","3.1",".",".",".",".","."
"","117
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
006","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","","94","",".",".",".",".",".",".",".",".",".","98.9","1.1",".",".",".",".","."
"","118
001","","16","3.281","37.5","31.3","12.5","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","002
118","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","","16","3.594","37.5","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","","16","3.375","50.0","25.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"","118
006","","16","3.063","25.0","50.0","6.3",".","6.3",".","12.5",".",".",".",".",".",".",".",".","."
"","007
118","","15","3.633","53.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
008","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","","113","3.509","46.9","37.2","6.2","4.4","1.8",".","3.5",".",".",".",".",".",".",".",".","."
"","122
001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
004","","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","","55","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"","001
201","","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","","19","3.395","21.1","47.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
201","","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
201","","19","3.421","26.3","47.4","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
006","","18","3.528","16.7","72.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 195 of 370",""
